dataset,filename,lleboul,mtorte
NEAMS,2020_03_25_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_26_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_27_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_28_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_29_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_29_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_29_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_03_31_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_01_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_01_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_01_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_02_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_02_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_02_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_02_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_02_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_03_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_03_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_03_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_03_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_05_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_05_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_05_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_06_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_07_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_07_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_07_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_07_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_08_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_08_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_08_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_09_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_09_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_09_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_09_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_10_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_11_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_11_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_12_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_12_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_12_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_13_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_13_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_14_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_14_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_15_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_15_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_15_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_15_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_16_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_17_00_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_17_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_17_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_18_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_18_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_19_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_19_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_19_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_19_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_20_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_20_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_20_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_20_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_21_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_21_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_21_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_21_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_22_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_22_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_22_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_22_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_23_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_23_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_24_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_26_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_26_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_27_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_27_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_28_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_28_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_28_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_29_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_04_30_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_01_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_01_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_02_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_03_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_04_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_04_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_04_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_05_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_05_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_05_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_05_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_06_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_07_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_08_09_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_08_10_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_09_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_09_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_10_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_10_16_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_11_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_11_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_11_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_11_11_00_00_000000+0000.wav,FINISHED,CREATED
