dataset,filename,annotator1,annotator2
dataset1,2022_07_07T10_45_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_45_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_45_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_46_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_47_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_48_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_49_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_50_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_51_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_52_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_53_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_54_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_55_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_56_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_56_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_56_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_56_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_56_43.wav,FINISHED,FINISHED
