dataset,filename,lleboul,mtorte
MADW,2020_02_22_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_22_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_22_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_23_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_23_10_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_23_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_24_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_24_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_26_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_27_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_27_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_27_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_29_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_02_29_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_01_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_01_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_02_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_02_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_03_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_03_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_03_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_04_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_04_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_04_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_11_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_06_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_07_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_07_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_08_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_08_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_09_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_09_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_10_14_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_10_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_11_18_00_00_000000+0000.wav,FINISHED,CREATED
