dataset,filename,emorin,lleboul,mtorte
ELAN,2020_03_06_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_07_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_08_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_09_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_10_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_11_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_12_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_12_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_13_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_13_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_14_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_15_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_16_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_17_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_18_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_19_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_20_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_21_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_22_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_23_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_23_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_24_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_25_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_27_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_28_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_28_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_29_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_03_30_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_01_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_01_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_02_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_03_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_03_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_04_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_05_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_06_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_06_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_07_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_08_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_08_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_10_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_11_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_12_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_12_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_13_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_14_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_15_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_16_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_17_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_18_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_19_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_19_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_20_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_21_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_21_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_23_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_23_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_24_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_25_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_25_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_26_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_27_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_27_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_28_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_30_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_04_30_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_01_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_01_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_02_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_03_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_04_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_04_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_05_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_06_13_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_06_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_07_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_07_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_08_21_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_09_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_10_02_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_10_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_11_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_12_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_13_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_14_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_15_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_15_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_15_19_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_16_03_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_16_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_16_11_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_16_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_16_22_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_17_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_17_06_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_17_14_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_17_16_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_18_09_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_18_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_19_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_20_15_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_22_04_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_22_07_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_22_18_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_22_23_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_23_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_24_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_24_05_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_24_20_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_25_12_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_25_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_26_01_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_26_10_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_26_17_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_27_00_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
ELAN,2020_05_27_08_00_00_000000+0000.wav,CREATED,FINISHED,CREATED
